Session ID,Title,Abstract,Start Time,End Time,Venue,Room,Speakers,Level,Content Type,Track,Industries,Special Event Type,Hash Tag,URL,Disclaimer
1793,Training Workshop: Tableau Desktop Performance,"Do you want workbooks that load quickly, respond rapidly to user inputs, and refresh in a flash? This class helps you learn the best practices in designing efficient workbooks.",10/19/2015 8:00,10/19/2015 17:00,Conference Center Level 3,CC 318,,Advanced,Training Workshop,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-1793,Current as of: 09/10/2015 - 06:46 Subject to change.
2482,Training Workshop: Tableau Jedi,Are you an advanced Tableau user wondering how to get to that next level of skill with Tableau? Wondering how to master the more sophisticated features of Tableau? Want to know how to impress your colleagues with amazing feats of analytics? In this session Tableau's own data and visualization gurus (the best of the best) show you powerful tricks that will make you truly the master of your analytics.,10/19/2015 8:00,10/19/2015 17:00,Conference Center Level 1,CC 117,,Jedi,Training Workshop,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-2482,Current as of: 09/10/2015 - 06:46 Subject to change.
2483,Training Workshop: Tableau Jedi,Are you an advanced Tableau user wondering how to get to that next level of skill with Tableau? Wondering how to master the more sophisticated features of Tableau? Want to know how to impress your colleagues with amazing feats of analytics? In this session Tableau's own data and visualization gurus (the best of the best) show you powerful tricks that will make you truly the master of your analytics.,10/19/2015 8:00,10/19/2015 17:00,Conference Center Level 1,CC 114,,Jedi,Training Workshop,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-2483,Current as of: 09/10/2015 - 06:46 Subject to change.
2495,Training Workshop: Tableau Desktop - Getting Started,"This workshop is geared toward beginning and intermediate-level Tableau users and is a condensed version of our popular Desktop Fundamentals. Whether you are the lone data soldier, or delivering powerful analytics for a worldwide base of users, you will gain useful experience and practical know-how in this session. This workshop covers the product's ins and outs, how to sort, group, and slice data, and tips and tricks for dashboard design.",10/19/2015 8:00,10/19/2015 17:00,Conference Center Level 1,CC 113,,Beginner,Training Workshop,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-2495,Current as of: 09/10/2015 - 06:46 Subject to change.
2546,Training Workshop: Tableau Analyst,This course assumes that you are already comfortable with the functionality of Tableau Desktop. You are interested in learning how to become a more effective analyst using Tableau as well as learning some of the fundamentals of good visualization design so that your message comes through in your visualizations.,10/19/2015 8:00,10/19/2015 17:00,Conference Center Level 3,CC 309,,Advanced,Training Workshop,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-2546,Current as of: 09/10/2015 - 06:46 Subject to change.
2548,Training Workshop: Tableau Desktop - Getting Started,"This workshop is geared toward beginning and intermediate-level Tableau users and is a condensed version of our popular Desktop Fundamentals. Whether you are the lone data soldier, or delivering powerful analytics for a worldwide base of users, you will gain useful experience and practical know-how in this session. This workshop covers the product's ins and outs, how to sort, group, and slice data, and tips and tricks for dashboard design.",10/19/2015 8:00,10/19/2015 17:00,Conference Center Level 1,CC 112,,Beginner,Training Workshop,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-2548,Current as of: 09/10/2015 - 06:46 Subject to change.
2549,Training Workshop: Tableau Desktop II - Next Steps,"This workshop is geared toward advanced Tableau users who want to take their skills to the next level, and is a condensed version of our advanced course. It focuses heavily on advanced techniques for manipulating and visualizing your data, how to harness the power of table calculations and parameters, and advanced dashboard design.",10/19/2015 8:00,10/19/2015 17:00,Conference Center Level 3,CC 314 & 315,,Intermediate,Training Workshop,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-2549,Current as of: 09/10/2015 - 06:46 Subject to change.
1785,Training Workshop: Tableau Desktop II - Next Steps,"This workshop is geared toward advanced Tableau users who want to take their skills to the next level, and is a condensed version of our advanced course. It focuses heavily on advanced techniques for manipulating and visualizing your data, how to harness the power of table calculations and parameters, and advanced dashboard design.",10/19/2015 8:00,10/19/2015 17:00,Conference Center Level 3,CC 312 & 317,,Intermediate,Training Workshop,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-1785,Current as of: 09/10/2015 - 06:46 Subject to change.
1787,Training Workshop: Introducing Tableau Server Architecture,"This course is designed for users who will be implementing or architecting Tableau Server. The Tableau Server Architecture one-day training explores Tableau processes, scalability, architecture scenarios, and suggested configurations, including distributed installations and high availability.",10/19/2015 8:00,10/19/2015 17:00,Conference Center Level 1,CC 104-105,,Advanced,Training Workshop,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-1787,Current as of: 09/10/2015 - 06:46 Subject to change.
1788,Training Workshop: Administering Tableau Server,"This course is designed for users who will be implementing or administering Tableau Server. The Tableau Server one-day training is a great way to learn about all aspects of Tableau Server. This training includes instructions on general Tableau Server usage, administration, automation, permissions, and data/row-level security.",10/19/2015 8:00,10/19/2015 17:00,Conference Center Level 1,CC 106-107,,Intermediate,Training Workshop,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-1788,Current as of: 09/10/2015 - 06:46 Subject to change.
1789,Training Workshop: Tableau Analyst,This course assumes that you are already comfortable with the functionality of Tableau Desktop. You are interested in learning how to become a more effective analyst using Tableau as well as learning some of the fundamentals of good visualization design so that your message comes through in your visualizations.,10/19/2015 8:00,10/19/2015 17:00,Conference Center Level 3,CC 306-307,,Advanced,Training Workshop,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-1789,Current as of: 09/10/2015 - 06:46 Subject to change.
2562,Tableau Server 9 Certification Exam,"This exam is intended for those who have a comprehensive understanding of Tableau Server 9 functionality in a single-machine and enterprise configuration. You should have at least nine months of hands-on Tableau Server experience. Typical roles include System Administrator, System Architect, IT Representative, Implementer, or Consultant. You must begin this seven hour exam at 9AM on this day. You must have achieved your Server 9 Qualified Associate title to take this exam. Please review the Exam Preparation Guide at www.tableau.com/certification before registering. Please note Conference exams are non-transferrable to online exams.",10/19/2015 9:00,10/19/2015 17:00,Conference Center Level 1,CC 109-110,,Advanced,Certification Exam,N/A,,,,http://tc15.tableau.com/schedule/monday/#session-2562,Current as of: 09/10/2015 - 06:46 Subject to change.
